id,id_index,kode_provinsi,nama_provinsi,periode_update,klinik,kategori,jumlah,satuan,tahun
1,21,35,JAWA TIMUR,2018-01,GIZI,PEREMPUAN,31.0,PASIEN,2018
1,11,35,JAWA TIMUR,2018-01,GIZI,LAKI LAKI,25.0,PASIEN,2018
2,32,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH UMUM,LAKI LAKI,58.0,PASIEN,2018
2,42,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH UMUM,PEREMPUAN,69.0,PASIEN,2018
3,53,35,JAWA TIMUR,2018-01,EKSEKUTIF GIGI DAN MULUT,LAKI LAKI,8.0,PASIEN,2018
3,63,35,JAWA TIMUR,2018-01,EKSEKUTIF GIGI DAN MULUT,PEREMPUAN,16.0,PASIEN,2018
4,74,35,JAWA TIMUR,2018-01,PALIATIF NYERI,LAKI LAKI,1.0,PASIEN,2018
4,84,35,JAWA TIMUR,2018-01,PALIATIF NYERI,PEREMPUAN,0.0,PASIEN,2018
5,95,35,JAWA TIMUR,2018-01,THT-KL,LAKI LAKI,183.0,PASIEN,2018
5,105,35,JAWA TIMUR,2018-01,THT-KL,PEREMPUAN,211.0,PASIEN,2018
6,116,35,JAWA TIMUR,2018-01,ASIH,LAKI LAKI,13.0,PASIEN,2018
6,126,35,JAWA TIMUR,2018-01,ASIH,PEREMPUAN,117.0,PASIEN,2018
7,137,35,JAWA TIMUR,2018-01,EKSEKUTIF ENDOSKOPI,LAKI LAKI,9.0,PASIEN,2018
7,147,35,JAWA TIMUR,2018-01,EKSEKUTIF ENDOSKOPI,PEREMPUAN,14.0,PASIEN,2018
8,158,35,JAWA TIMUR,2018-01,BEDAH ORTHOPEDI,LAKI LAKI,271.0,PASIEN,2018
8,168,35,JAWA TIMUR,2018-01,BEDAH ORTHOPEDI,PEREMPUAN,271.0,PASIEN,2018
9,179,35,JAWA TIMUR,2018-01,ANAK,LAKI LAKI,113.0,PASIEN,2018
9,189,35,JAWA TIMUR,2018-01,ANAK,PEREMPUAN,97.0,PASIEN,2018
10,1910,35,JAWA TIMUR,2018-01,EKSEKUTIF REHAB MEDIK,LAKI LAKI,39.0,PASIEN,2018
10,2010,35,JAWA TIMUR,2018-01,EKSEKUTIF REHAB MEDIK,PEREMPUAN,53.0,PASIEN,2018
11,2111,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH SARAF,LAKI LAKI,28.0,PASIEN,2018
11,2211,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH SARAF,PEREMPUAN,21.0,PASIEN,2018
12,2312,35,JAWA TIMUR,2018-01,EKSEKUTIF MATA,LAKI LAKI,38.0,PASIEN,2018
12,2412,35,JAWA TIMUR,2018-01,EKSEKUTIF MATA,PEREMPUAN,56.0,PASIEN,2018
13,2513,35,JAWA TIMUR,2018-01,MATA,LAKI LAKI,271.0,PASIEN,2018
13,2613,35,JAWA TIMUR,2018-01,MATA,PEREMPUAN,271.0,PASIEN,2018
14,2714,35,JAWA TIMUR,2018-01,EKSEKUTIF KEBIDANAN/KANDUNGAN,LAKI LAKI,0.0,PASIEN,2018
14,2814,35,JAWA TIMUR,2018-01,EKSEKUTIF KEBIDANAN/KANDUNGAN,PEREMPUAN,101.0,PASIEN,2018
15,2915,35,JAWA TIMUR,2018-01,GIGI & MULUT,LAKI LAKI,88.0,PASIEN,2018
